5 Stars,1 Star,En_Category,Install_con,Cleaned_Name,Rate
0,0,vrzshy,10,World,0
66,14,abzarha,5000000,ذره,3
0,0,vrzshy,10,Olympiacos,0
0,0,vrzshy,10,South,0
0,0,vrzshy,10,The,0
58,16,vrzshy,10000,Football,4
0,0,vrzshy,10,A,0
98,2,vrzshy,100,باشگاه,4
0,0,vrzshy,10,Pitch,0
0,0,vrzshy,10,"Watch.Hockey,",0
0,0,vrzshy,10,Skill,0
0,0,vrzshy,10,DIABLO™,0
63,21,vrzshy,10000,Dream,3
0,0,vrzshy,10,Orange,0
0,0,vrzshy,10,Basketball,0
0,0,vrzshy,10,FishPhone,0
0,0,vrzshy,10,My,0
77,12,vrzshy,20000,Real,4
0,0,vrzshy,10,Daily,0
0,0,vrzshy,10,Betting,0
0,0,vrzshy,10,SBK,0
0,0,vrzshy,10,GotCourts,0
0,0,vrzshy,10,Cricket,0
0,0,vrzshy,10,SupaScore,0
0,0,vrzshy,10,Volleyball,0
0,0,vrzshy,10,MyScorecard,0
0,0,vrzshy,10,Muay,0
0,0,vrzshy,10,Basketball,0
0,0,vrzshy,10,Blulory,0
0,0,vrzshy,10,MantisX,0
86,6,vrzshy,100000,دریم,4
76,7,ktab‌ha v mtbvaat,3000000,آخرینخبر,4
0,0,vrzshy,10,SmartPitch,0
0,0,vrzshy,10,San,0
0,0,vrzshy,10,CBTF,0
85,3,vrzshy,4000000,فوتبالی,4
0,0,vrzshy,10,Scoreboard,0
0,0,vrzshy,10,Soccer,0
73,13,vrzshy,100000,ورزش,4
90,10,vrzshy,500,PESData,4
70,11,vrzshy,50000,آپارات,4
0,0,vrzshy,10,MySports,0
0,0,vrzshy,10,Over/Under,0
0,0,vrzshy,10,Coach,0
0,0,vrzshy,10,Superliga,0
0,0,vrzshy,10,Dolomiti,0
0,0,vrzshy,10,PakiTV,0
73,10,vrzshy,20000,La,4
0,0,vrzshy,10,Al,0
0,0,vrzshy,10,Football,0
0,0,vrzshy,10,Fantasy,0
0,0,vrzshy,10,Race,0
0,0,vrzshy,10,Premiership,0
0,0,vrzshy,10,M,0
0,0,vrzshy,10,Sport,0
0,0,vrzshy,10,Baseball,0
0,0,vrzshy,10,RallySafe,0
0,0,vrzshy,10,bet,0
88,2,vrzshy,500000,اخبار,4
0,0,vrzshy,10,Duck,0
0,0,vrzshy,10,Name,0
0,0,vrzshy,10,HSBC,0
88,0,vrzshy,500,ورزش,4
100,0,vrzshy,1000,Scores,5
0,0,vrzshy,10,Correct,0
0,0,vrzshy,10,Prime,0
0,0,vrzshy,10,Golf,0
100,0,tnasb andam,2000,ProFit,5
0,0,vrzshy,10,Baseball,0
0,0,vrzshy,10,Playing,0
0,0,vrzshy,10,Betting,0
0,0,vrzshy,10,Overlyzer,0
0,0,vrzshy,10,Sports,0
0,0,vrzshy,10,Football,0
0,0,vrzshy,10,Mini,0
0,0,vrzshy,10,Official,0
0,0,vrzshy,10,Diablo,0
89,0,vrzshy,100,box,4
0,0,vrzshy,10,1RM,0
0,0,vrzshy,10,SportsTiger,0
0,0,vrzshy,10,Sports,0
0,0,vrzshy,10,MMA,0
76,12,vrzshy,1000,Football,4
0,0,vrzshy,10,Golf,0
64,16,srgrmy,1000000,سپهر(سرویس,4
0,0,vrzshy,10,NBA,0
0,0,vrzshy,10,Futbology,0
0,0,vrzshy,10,Dangle,0
0,0,vrzshy,10,Live,0
0,0,vrzshy,10,Betting,0
0,0,vrzshy,10,West,0
